"Title:","Single Channel Clearpath SC IO Board"
"Rev:","1.0"
"Source:","/home/scott/projects/clearpath-sc-single/clearpath-sc-single-channel/clearpath-sc-single-channel.sch"
"Date:","Fri 06 Oct 2017 14:04:01 ACDT"
"Component Count:","54"

"Ref","Qty","Value","Description","Manf","Manf#","Installed","Footprint"
"R12","1","93K1_1608M","RESISTOR, THICK FILM, 93.1K, 100mW, 1%, 0603, 1608M","VISHAY","CRCW060393K1FKEA"," ","RESC1608X50N"
"R13","1","560R_1608M","RESISTOR, THICK FILM, 560R, 125mW, 1%, 0603, 1608M","MULTICOMP","MC0201L6F5600SE"," ","RESC1608X50N"
"R14, R15","2","62R_1608M","RESISTOR, THICK FILM, 62R, 63mW, 0603, 1608M","MULTICOMP","MC00625W0402162R"," ","RESC1608X50N"
"R16","1","470K_1608M","RESISTOR, THICK FILM, 470K, 100mW, 1%, 0603, 1608M","PANASONIC","ERJ3EKF4703V"," ","RESC1608X50N"
"R17","1","390R_1608M","RESISTOR, THICK FILM, 390R, 63mW, 1%, 0603, 1608M","MULTICOMP","MC0063W06031390R"," ","RESC1608X50N"
"R2, R4","2","240R_1608M","RESISTOR, THICK FILM, 240R, 100mW, 1%, 0603, 1608M","VISHAY DRALORIC","CRCW0603240RFKEA"," ","RESC1608X50N"
"R3","1","750R_1608M","RESISTOR, THICK FILM, 750R, 100mW, 0603, 1608M","PANASONIC","ERJ3GEYJ751V"," ","RESC1608X50N"
"R5, R6","2","22R_1608M","RESISTOR, THICK FILM, 22R, 125mW, 1%, 0603, 1608M","MULTICOMP","MC0063W060314R22"," ","RESC1608X50N"
"R7, R8","2","2K40_1608M","RESISTOR, THICK FILM, 2K4, 63mW, 1%, 0603, 1608M","MULTICOMP","MC0063W060312K4"," ","RESC1608X50N"
"R9","1","1K00_1608M","RESISTOR, THICK FILM, 1K, 125mW, 1%, 0603, 1608M","MULTICOMP","MCHP03W8F1001T5E"," ","RESC1608X50N"
"TEST1, TEST2","2","CLIP_HOOK_RED","PCB Probe Hook, RED, Through Hole","KEYSTONE","5000"," ","KEYSTONE_5000"
"TEST3","1","CLIP_HOOK_BLACK","PCB Probe Hook, BLACK, Through Hole","KEYSTONE","5001"," ","KEYSTONE_5001"
"U1, U4","2","LM317LCPK","ADJUSTABLE LINEAR REGULATOR, 1.2V TO 32V, SOT89-3","TEXAS INSTRUMENTS","LM317LCPK"," ","SOT89N"
"U2","1","FT230XS-R","USB-UART/FIFO, USB2.0, FT230, SMD, TSSOP-16","FTDI","FT230XS-R"," ","SOP16P65_500X640X120L62X24N"
"U3","1","USBLC6","USBLC6-2 Low capacitance ESD Protection IC","ST","USBLC6-2SC6"," ","SOT95P280X145-6L50N"
"U5","1","SN74HC14PWR","No description","TI","SN74HC14PWR"," ","SOP14P65_500X640X120L62X24N"

"Tool:","Eeschema no-vcs-found"
"Script:","/home/scott/projects/ECAD/kicad-scripts/BOM/bom/BOM-GroupedByValue.py"
